IlmnID,arms,ccsk,erms,ews,mrt,nbl,normal,os,wbc,wt
cg2678,0.8229994333333334,0.8537420333333333,0.8178923833333334,0.8811869000000001,0.8005981381666667,0.910645936792353,0.9527027027027029,0.6088377650250083,0.881163256344078,0.8407604333333333
cg2679,0.0704481047,0.0671269776,0.0691761666,0.07684709736371703,0.08403910679999999,0.05527684590572032,0.01345250993138317,0.09316499821001135,0.08984499869331601,0.06356604910000001
cg2680,0.04149217,0.011846528333333332,0.036236435,0.03746448666666667,0.10907199549999999,0.028225919974678867,0.0,0.022455407300005552,0.047808532844333805,0.02076704333333333
cg2681,0.058469969199999985,0.036159394,0.0500803904,0.05821955345,0.05858920995,0.0587378657946586,0.0,,0.07524083433293577,0.0386418134
cg2682,0.1472874225,0.161673085,0.2625844,0.11759791301458725,0.140019664125,0.10725984993212029,0.0046296296296296285,0.10108157853423663,0.1183864815896881,0.1044104975
cg2683,0.07519272,0.03042314666666666,0.07013302833333332,0.05053591227767289,0.08956437433333332,0.026484031546986867,0.0,0.021774650548372222,0.05052690206488003,0.035594216666666664
cg2684,0.0617264,0.0332014325,0.05959053625,0.051338079125000005,0.09340637237499999,0.023442496652213096,0.0,0.01935621218521097,0.05562740578168415,0.033311755
cg2685,0.030564376666666667,0.0289765,0.028601376333333334,0.0368149169661244,0.014624238666666664,0.029826163160348723,0.0,0.038701435624084554,0.04726118190771533,0.03101687666666666
cg2686,0.0535090025,0.0364346625,0.050165917500000004,0.054848610780915116,0.05516234,0.03556922764105608,0.0,0.017262531875760188,0.055974284642519176,0.044438385
cg2687,0.08215994500000001,0.060112495,0.07602338125,0.07860872832416477,0.04421860899999999,0.06495765051055317,0.0,0.019479134450709583,0.07845867626815663,0.0711598125
cg2688,0.07796655666666666,0.0893558,0.07891835166666666,0.0764698291849973,0.11433635733333333,0.047263672693788866,0.027799227799227798,0.07113472088544683,0.11994911373124435,0.06566949666666667
cg2689,0.5288124759999999,0.67607493,0.645352615,0.514448263,0.6403134631111111,0.7154526971380334,0.6322451698867422,0.6366965579204558,0.5343091981654224,0.64542253
cg2690,0.059468380000000015,0.03960732,0.05665867666666667,0.058292593973320775,0.03479858566666667,0.04493782240833642,0.0,0.026644217130174085,0.07231544244266719,0.04661716
cg2691,0.04511683,0.02912887666666666,0.041463636666666664,0.043730547999999994,0.034348734500000005,0.04463683294331905,0.0,0.02456141258275253,0.06473386354548767,0.031518766000000004
cg2692,0.1113361825,0.07562682000000001,0.11352813225000001,0.09525262649999999,0.120792746,,0.0,0.05985804899842641,0.0847757792597661,0.0617942475
cg2693,0.10216648142857143,0.07635306428571427,0.12008488785714286,0.066190849,0.11701739566666668,0.04335560108629624,0.005216088635036727,0.029364186546768034,0.0717712459487211,0.053751541142857136
cg2694,0.06665048333333333,0.04146607666666666,0.05025901666666667,0.057314985000000006,0.039925854000000004,0.038689912632581466,0.020309278350515464,0.02504451100426393,0.08841729740997357,0.0417399
cg2695,0.03735003666666667,0.01284145,0.03384807666666667,0.03589797833333333,0.03602509150000001,0.027221287189727026,0.0,0.02164277562964185,0.04489428264611954,0.02166124333333333
cg2696,0.25195156399999996,0.09637036855555556,0.4452118761111111,0.16383971543749998,0.16067821635714286,0.07938353065317509,0.08922647416129334,0.13394138797856586,0.0884017084019701,0.1038548758888889
cg2697,0.7339991,0.5219090999999999,0.7821575666666667,0.7531223828273022,0.6368092358333333,0.3948498623348806,0.1895650239181221,0.7379626280499695,0.3557269987099549,0.8584433666666667
cg2698,0.048367513333333334,0.03684532866666667,0.04382331666666667,0.04743771154011686,0.03604660666666666,0.04216512417698234,0.0,0.028757678048685113,0.06237720343246592,0.03593752
cg2699,0.10462490571428572,0.058326502857142866,0.11017431714285714,0.07967033058733924,0.09693561171428572,0.07706151997358389,0.0,0.03212678563911189,0.1024509569361707,0.06751546857142858
cg2700,0.790108575,0.72349285,0.7602910999999999,0.7933540517421177,0.5637939656250001,0.3981625603038765,0.9110547667342799,0.7592732578431688,0.9062418215558824,0.5676565250000001
cg2701,0.06027338571428573,0.031707541428571434,0.05467193928571429,0.05396238428571429,0.06709598124999999,0.03877892148215215,0.0,0.017168387915136623,0.06046484822002578,0.037608545857142864
cg2702,0.651682625,0.773434175,0.33874145,0.38092277499999994,0.425819935375,0.31012351418740464,0.4545454545454545,0.6673351160240251,0.7023015341456145,0.09561509666666666
cg2703,0.09258735631818182,0.21082283881818184,0.09624991422727272,0.11995061399772729,0.143747462025,0.06192767491605895,0.0024877007333147685,0.15172378833136457,0.06494648723833127,0.06040303977272728
cg2704,0.59414685,0.67728975,0.5705578,0.15329990952723263,0.543787138875,0.7126419552169068,0.021393762183235868,0.016138927243171487,0.04596094768514655,0.6934935
cg2705,0.070551692,0.038523487200000005,0.0717849112,0.05594422830000001,0.048159028125,0.05511069097163285,0.028370221327967807,0.04525656699674843,0.07744219178365283,0.042773813200000003
cg2706,0.073819735,0.0450300475,0.0646965025,0.07320131875,0.05252394799999999,0.0889444429100307,0.0,0.013398027193940922,0.08634704605864962,0.0591965075
cg2707,0.07551569999999999,0.039805586,0.06942759,0.067008916,0.08150081509999998,0.041750232773928975,0.0,0.02517803188929125,0.06571556229770427,0.051599064000000014
cg2708,0.027702427999999998,0.01662692025,0.02495896125,0.027603929125000003,0.04445982283333333,0.0259535936481387,0.0,0.01882722715554775,0.0382868089235307,0.01840899875
cg2709,0.13754853,0.178818489,0.139613186625,0.216303638375,0.15985538366666663,0.22627172231106032,0.07894248952501019,0.15497503795399103,0.1238134352327656,0.08532191175
cg2710,0.14876934625,0.1101223825,0.16394684999999998,0.1050377005923567,0.1784955797857143,0.035657355134308684,0.03542673107890499,0.06068684805508666,0.14203964703404487,0.111007995
cg2711,0.03262415666666667,0.020455758,0.032612608333333334,0.03884209663713528,0.05305608916666667,0.03852307415564625,0.0,0.02055943899988935,0.04356393749739484,0.027082731000000002
cg2712,0.05969679316666668,0.03931314666666666,0.0563094875,0.06292990500000001,0.071158797875,0.04928432567176742,0.0,0.021612749608883444,0.0657532376166285,0.042729521666666666
cg2713,0.056816282,0.0314725516,0.0532360636,0.05439815329601477,0.04835549222222222,0.04733132421265577,0.0,0.022061950022062106,0.055630060267004455,0.042878819100000014
